id,,Totals,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
39,Columbia University,595.5008279,7,10,7,7,7,10,7,10,10,0.8239831697,1.884642356,10,7,10,0,1.97266881,7,7,0,0.2567657692,20,0,15,20.97,7,7,7,16.6,16.71675804,7,7,0,4.549965068,9.99,9.367613125,0,5.957446809,18.97,17.524,10,10,7,7,7,7,7,7,0,11.450866,18.46611876,10,20,,30,0,30,15,25,15,0,7,40,0
40,Connecticut College,485.0660741,7,7.5,7,3.5,7,10,7,10,0,0.1428571429,5.357142857,0,7,10,0,0,0,5.25,0,0.4516666667,20,0,0,11.6,0,7,7,42.84667429,0,7,7,0,0,3.33,1.5,0,10,19.8,3,10,10,7,0,7,0,7,7,25,12.89537713,19.39235601,10,20,0,10.5,10,30,0,25,0,0,7,40,0
41,Cornell University,666.5842661,7,10,7,7,7,10,7,10,0,2.001862197,3.724394786,10,7,10,0,2.77027027,7,7,0,8.302796285,20,15,15,15.4,7,7,7,16.6,15.129946,7,7,7,6.171250592,9.99,5.702230584,0,0.2771260997,17.86,8.6,10,10,7,7,7,7,7,7,16.53596471,17.21929436,14.31913026,10,20,30,27,10,30,15,25,0,0,7,40,31.98
42,Creighton University,482.0911536,0,10,7,4.9,7,10,7,0,0,1.471825063,0.9671993272,0.2734957732,7,10,0,0.2772643253,4.666666667,7,0,0,20,20,0,13.56,7,0,0,26.70909641,15.03426307,7,7,7,7,9.99,2.404858202,0,0.585106383,12.4,2.1,0,10,7,7,7,7,0,7,25,11.26137841,0,5,20,0,19.5,10,20,0,25,0,0,7,30,28.99
43,Denison University,655.2226835,7,7.5,7,7,7,10,7,10,10,0.9777294948,4.372623574,10,7,10,10,1.201716738,6.396551724,5.25,0,4.249474422,20,5,15,17,7,7,7,50,15.01366575,7,7,7,7,9.99,7.153244641,0,0,19.998,3.66,10,10,0,7,0,7,7,7,0,13.66155604,18.88812111,10,20,30,27,10,20,15,25,0,0,7,40,26.91
44,Dickinson College,680.9521145,7,10,7,7,7,10,7,10,10,1.813471503,4.81865285,10,7,10,0,2.211981567,7,7,0.511233393,4.35559639,20,25,0,12.08,7,7,7,16.6,32.75013426,7,7,0,7,9.99,11.64771939,0,0.9174311927,18.408,9.2,10,10,7,7,7,7,7,7,0,13.76204411,17.8458498,10,20,30,30,10,30,15,25,15,0,7,40,27.04
45,Drew University,464.2686612,7,10,7,4.9,7,10,7,10,10,0,0,10,7,10,0,1.234567901,5.154545455,7,0.2962140235,0,20,20,0,13.8,0,7,0,50,0,7,7,0,0,3.33,1.5,0,6.285714286,19,2.6,10,10,7,7,7,0,7,7,,12.16761955,0,5,20,,24,0,30,0,0,0,0,7,40,0
46,Duke University,646.0331832,7,10,7,7,7,10,7,10,10,2.010376135,2.594033722,10,7,10,10,0.8902821317,7,7,0.005188495333,5.48944399,20,15,15,12.6,7,7,7,16.6,0,7,7,7,6.937933205,9.99,1.323910148,0,0.9089595376,9.42,4.2,10,10,7,7,7,7,7,7,21.47561467,13.27544113,0,10,20,30,30,10,30,15,25,15,0,7,40,26.312
47,Earlham College,593.3423354,7,10,7,6.3,7,10,7,10,0,0.8474576271,0.4547333609,10,7,10,0,0.9375,5.833333333,7,0.141005383,8,20,10,0,,7,7,7,16.6,0,7,7,7,7,9.99,0,0,12.72727273,19.336,4.6,10,0,7,0,0,7,0,7,25,13.56301788,17.75201509,10,20,30,21,10,30,15,25,15,0,7,40,26.26
48,Eastern Connecticut State University,541.7620022,0,7.5,7,6.3,7,10,7,10,10,0.8588957055,2.63803681,10,7,10,0,3.186813187,7,0,0,2.840844316,20,10,0,17.6,7,0,0,50,19.31854531,7,7,0,7,9.99,15,0,0.2631578947,0,0,0,10,0,0,0,7,0,0,25,10.51016661,0,10,20,21.71654239,3,10,30,15,25,0,0,7,30,39.039
